netpulse-backend  | 
netpulse-backend  | 2026-01-13T16:52:05.884Z  INFO 1 --- [netpulse] [           main] o.f.c.internal.license.VersionPrinter    : Flyway Community Edition 9.22.3 by Redgate
netpulse-backend  | 2026-01-13T16:52:05.885Z  INFO 1 --- [netpulse] [           main] o.f.c.internal.license.VersionPrinter    : See release notes here: https://rd.gt/416ObMi
netpulse-backend  | 2026-01-13T16:52:05.885Z  INFO 1 --- [netpulse] [           main] o.f.c.internal.license.VersionPrinter    : 
netpulse-backend  | 2026-01-13T16:52:05.903Z  INFO 1 --- [netpulse] [           main] org.flywaydb.core.FlywayExecutor         : Database: jdbc:postgresql://netpulse-postgres:5432/netpulse (PostgreSQL 15.15)
netpulse-backend  | 2026-01-13T16:52:05.967Z  INFO 1 --- [netpulse] [           main] o.f.core.internal.command.DbMigrate      : Current version of schema "netpulse": 41
netpulse-backend  | 2026-01-13T16:52:05.970Z  INFO 1 --- [netpulse] [           main] o.f.core.internal.command.DbMigrate      : Schema "netpulse" is up to date. No migration necessary.
netpulse-backend  | 2026-01-13T16:52:06.055Z  INFO 1 --- [netpulse] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
netpulse-backend  | 2026-01-13T16:52:06.113Z  INFO 1 --- [netpulse] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.1.Final
netpulse-backend  | 2026-01-13T16:52:06.148Z  INFO 1 --- [netpulse] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
netpulse-backend  | 2026-01-13T16:52:06.451Z  INFO 1 --- [netpulse] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
